,,,,,,,Daily Price Arrival Report-26-02-2026 to 26-02-2026 for Kerala,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Kerala,Alappuzha,Chengannur APMC,Vegetables,Tomato,Tomato,FAQ,"3,500.00","3,800.00","3,700.00",Rs./Quintal,0.50,Metric Tonnes,26-02-2026
Kerala,Alappuzha,Kayamkulam APMC,Vegetables,Tomato,Other,FAQ,"2,700.00","2,900.00","2,800.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Alappuzha,Madhavapuram APMC,Vegetables,Tomato,Other,FAQ,"2,800.00","3,000.00","2,800.00",Rs./Quintal,0.90,Metric Tonnes,26-02-2026
Kerala,Ernakulam,Aluva APMC,Vegetables,Tomato,Tomato,FAQ,"2,500.00","4,000.00","3,300.00",Rs./Quintal,20.00,Metric Tonnes,26-02-2026
Kerala,Ernakulam,Angamaly APMC,Vegetables,Tomato,Tomato,FAQ,"3,700.00","5,000.00","4,300.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Ernakulam,Ernakulam APMC,Vegetables,Tomato,Tomato,FAQ,"2,900.00","3,600.00","3,200.00",Rs./Quintal,7.00,Metric Tonnes,26-02-2026
Kerala,Ernakulam,North Paravur APMC,Vegetables,Tomato,Deshi,FAQ,"3,000.00","4,000.00","3,500.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Ernakulam,Thrippunithura APMC,Vegetables,Tomato,Tomato,Medium,"4,000.00","4,500.00","4,200.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Kannur,Kuthuparambu APMC,Vegetables,Tomato,Tomato,FAQ,"1,800.00","2,200.00","2,000.00",Rs./Quintal,0.10,Metric Tonnes,26-02-2026
Kerala,Kannur,Taliparamba APMC,Vegetables,Tomato,Tomato,FAQ,"2,400.00","2,600.00","2,500.00",Rs./Quintal,0.04,Metric Tonnes,26-02-2026
Kerala,Kannur,Thalasserry APMC,Vegetables,Tomato,Other,FAQ,"1,200.00","2,000.00","1,400.00",Rs./Quintal,0.20,Metric Tonnes,26-02-2026
